127.0.0.1 - - [28/Nov/2018:08:47:45 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:47:57 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:48:04 -0500] "GET /Project1/Project1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:48:04 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:48:04 -0500] "GET /Project1/login.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:48:37 -0500] "POST /Project1/login HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:48:37 -0500] "GET /Project1/employee.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:48:39 -0500] "GET /Project1/reimb.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:48:50 -0500] "POST /Project1/reimb HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:48:51 -0500] "GET /Project1/past.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:48:51 -0500] "GET /Project1/past HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:48:55 -0500] "GET /Project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:49:01 -0500] "POST /Project1/login HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:49:01 -0500] "GET /Project1/manager.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:49:02 -0500] "GET /Project1/pending.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:49:02 -0500] "GET /Project1/pending HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:49:05 -0500] "POST /Project1/pending HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:49:05 -0500] "GET /Project1/pending HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:49:06 -0500] "GET /Project1/old.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:49:07 -0500] "GET /Project1/old HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:49:09 -0500] "GET /Project1/pending HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:49:12 -0500] "GET /Project1/old HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:49:17 -0500] "GET /Project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:49:19 -0500] "GET /Project1/register.view HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:56:36 -0500] "GET /Project1/ HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:58:55 -0500] "GET /Project1/ HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [28/Nov/2018:08:59:59 -0500] "GET /Project1/ HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:00:42 -0500] "GET /Project1/ HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:00:50 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:00:50 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:00:59 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:01:09 -0500] "GET /Project1/ HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:01:10 -0500] "GET /Project1/Project1.js HTTP/1.1" 200 11191
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:01:10 -0500] "GET /Project1/login.view HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:01:11 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:01:17 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:03:14 -0500] "GET /Project1/ HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:03:15 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:04:18 -0500] "GET /Project1/ HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:06:12 -0500] "GET /Project1/ HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:06:12 -0500] "GET /Project1/Downloads/faviconreimb.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [28/Nov/2018:09:06:23 -0500] "GET /Project1/ HTTP/1.1" 200 1123
