127.0.0.1 - - [30/Nov/2018:08:52:30 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:53:20 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:53:21 -0500] "GET /Project1/Project1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:53:21 -0500] "GET /Project1/login.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:54:00 -0500] "POST /Project1/login HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:54:00 -0500] "GET /Project1/employee.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:54:02 -0500] "GET /Project1/reimb.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:54:04 -0500] "GET /Project1/past.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:54:04 -0500] "GET /Project1/past HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:54:14 -0500] "GET /Project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:54:15 -0500] "GET /Project1/register.view HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:54:50 -0500] "POST /Project1/register HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:54:59 -0500] "POST /Project1/login HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:54:59 -0500] "GET /Project1/error-login.view HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:55:08 -0500] "POST /Project1/login HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:55:18 -0500] "POST /Project1/login HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:55:48 -0500] "POST /Project1/login HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:56:27 -0500] "POST /Project1/login HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:56:29 -0500] "GET /Project1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:57:26 -0500] "POST /Project1/login HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:57:39 -0500] "POST /Project1/login HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:58:08 -0500] "GET /Project1/past HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [30/Nov/2018:08:58:17 -0500] "GET /Project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:09:32 -0500] "POST /Project1/login HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:09:32 -0500] "GET /Project1/manager.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:09:33 -0500] "GET /Project1/pending.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:09:33 -0500] "GET /Project1/pending HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:09:37 -0500] "GET /Project1/old.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:09:38 -0500] "GET /Project1/old HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:09:40 -0500] "GET /Project1/pending HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:09:41 -0500] "GET /Project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:22:08 -0500] "POST /Project1/register HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:22:25 -0500] "POST /Project1/login HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:22:33 -0500] "GET /Project1/past HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:22:50 -0500] "POST /Project1/reimb HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:23:08 -0500] "POST /Project1/reimb HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:23:23 -0500] "POST /Project1/reimb HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:23:25 -0500] "GET /Project1/past HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:23:32 -0500] "GET /Project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:23:38 -0500] "POST /Project1/login HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:23:53 -0500] "GET /Project1/old HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:23:59 -0500] "GET /Project1/pending HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:24:15 -0500] "POST /Project1/pending HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:24:15 -0500] "GET /Project1/pending HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [30/Nov/2018:09:24:23 -0500] "POST /Project1/pending HTTP/1.1" 200 -
